feature,coefficient,abs_coefficient
X324,0.00021163574523630333,0.00021163574523630333
X164,0.00019289236819910552,0.00019289236819910552
X31,-0.00018623743985959868,0.00018623743985959868
X17,0.000151818862642187,0.000151818862642187
X60,-0.0001321422113095716,0.0001321422113095716
X300,0.00010930458904422347,0.00010930458904422347
X261,-0.0,0.0
X262,-0.0,0.0
X327,0.0,0.0
X266,-0.0,0.0
X283,-0.0,0.0
X294,-0.0,0.0
X293,-0.0,0.0
X292,-0.0,0.0
X290,0.0,0.0
X301,-0.0,0.0
X304,0.0,0.0
X258,-0.0,0.0
X313,-0.0,0.0
X320,0.0,0.0
X267,-0.0,0.0
X323,0.0,0.0
X326,0.0,0.0
X280,0.0,0.0
X295,0.0,0.0
X277,0.0,0.0
X274,0.0,0.0
X330,0.0,0.0
X269,-0.0,0.0
X259,-0.0,0.0
X167,-0.0,0.0
X257,-0.0,0.0
X114,-0.0,0.0
X122,0.0,0.0
X125,-0.0,0.0
X128,0.0,0.0
X133,0.0,0.0
X137,0.0,0.0
X138,0.0,0.0
X139,-0.0,0.0
X140,0.0,0.0
X141,0.0,0.0
X144,-0.0,0.0
X145,-0.0,0.0
X146,-0.0,0.0
X148,0.0,0.0
X156,0.0,0.0
X157,-0.0,0.0
X119,-0.0,0.0
X108,0.0,0.0
X252,-0.0,0.0
X106,-0.0,0.0
X40,-0.0,0.0
X56,0.0,0.0
X57,0.0,0.0
X69,0.0,0.0
X72,0.0,0.0
X81,0.0,0.0
X84,-0.0,0.0
X85,-0.0,0.0
X88,-0.0,0.0
X89,0.0,0.0
X90,-0.0,0.0
X91,-0.0,0.0
X93,0.0,0.0
X95,-0.0,0.0
X100,0.0,0.0
X168,-0.0,0.0
X174,-0.0,0.0
X176,-0.0,0.0
X178,-0.0,0.0
X221,-0.0,0.0
X222,0.0,0.0
X223,-0.0,0.0
X224,0.0,0.0
X227,0.0,0.0
X228,-0.0,0.0
X230,0.0,0.0
X231,0.0,0.0
X232,0.0,0.0
X235,0.0,0.0
X239,-0.0,0.0
X243,-0.0,0.0
X244,-0.0,0.0
X246,-0.0,0.0
X249,0.0,0.0
X219,-0.0,0.0
X218,0.0,0.0
X217,-0.0,0.0
X187,0.0,0.0
X179,-0.0,0.0
X180,-0.0,0.0
X181,-0.0,0.0
X183,-0.0,0.0
X184,-0.0,0.0
X185,0.0,0.0
X191,-0.0,0.0
X215,-0.0,0.0
X195,-0.0,0.0
X200,-0.0,0.0
X202,-0.0,0.0
X207,0.0,0.0
X209,-0.0,0.0
X214,0.0,0.0
X332,-0.0,0.0
